myPosition,raisePosition,reraisePosition,callPosition,hands,color
"BB","BTN",,,"A9s,A8s,A7s,A6s,A3s,A2s,K9s,K8s,K7s,K5s,K4s,K3s,K2s,QJo,Q9s,Q7s,Q4s,Q3s,Q2s,J8s,J6s,J5s,J4s,J3s,J2s,ATo,JTo,T5s,A9o,K9o,Q9o,J9o,T9o,97s,96s,A8o,86s,85s,77,75s,74s,66,64s,63s,A5o,55,53s,52s,A4o,44,43s,42s,33,22",green

"BB","SB",,,"AA,AKs,AQs,A5s,AKo,KK,KQs,QQ,JJ,T9s,98s,87s,76s,54s,A2o",red
"BB","SB",,,"AJs,A4s,KJs,QJs,AJo,JTs,T8s,TT,99,Q8o,J9o,J8o,K7o,A6o,65s,",yellow
"BB","SB",,,"ATs,A7s,A3s,A9s,A8s,A6s,A2s,KQo,KTs,K9s,K8s,K7s,K6s,K5s,K4s,K3s,K2s,AQo,QTs,Q9s,Q8s,Q7s,Q6s,Q5s,Q4s,Q3s,Q2s,KJo,QJo,J9s,J8s,J7s,J6s,J5s,J4s,J3s,J2s,ATo,KTo,QTo,JTo,T7s,T6s,T5s,T4s,T3s,T2s,A9o,K9o,Q9o,T9o,97s,96s,95s,A8o,K8o,T8o,98o,88,86s,85s,84s,A7o,87o,77,75s,74s,73s,76o,66,64s,63s,A5o,55,53s,52s,A4o,65o,54o,44,43s,42s,A3o,33,32s,22",green




CO,UTG,,HJ,"AA,AKs,AKo,KK,AQo,QQ",red
CO,UTG,,HJ,"A5s,A4s,A3s,KQs,KJs,KTs,QJs,76s,TT",yellow
CO,UTG,,HJ,"K9s",blue
CO,UTG,,HJ,"AQs,AJs,ATs,A9s,QTs,JTs,54s,65s,JJ,99,88,77,66,55,44,33,22",green


BTN,UTG,,HJ,"AA,AKs,AKo,KK,K9s,AQo,QQ",red
BTN,UTG,,HJ,"A8s,A5s,A4s,KQs,KQo,KJs,KTs,QJs,QTs,87s,76s",yellow
BTN,UTG,,HJ,"AQs,AJs,ATs,A9s,A3s,JJ,JTs,TT,T9s,99,88,77,66,65s,55,54s,44,33,22",green

BTN,UTG,,CO,"AA,AKs,AKo,KK,K9s,AQo,QQ,QJs",red
BTN,UTG,,CO,"A8s,A7s,A5s,A4s,A3s,KQs,KJs,KTs,KQo,QTs,T9s,87s,76s,JJ",yellow
BTN,UTG,,CO,"AQs,AJs,ATs,A9s,JTs,J9s,TT,99,98s,88,77,66,65s,55,54s,44,33,22",green

BTN,HJ,,CO,"AA,AKs,AQs,AKo,KK,K9s,AQo,KQo,QQ,QJs,J9s,",red
BTN,HJ,,CO,"A8s,A7s,A5s,A4s,A3s,KJs,KTs,QTs,98s,87s,76s,JJ",yellow
BTN,HJ,,CO,"AJs,ATs,A9s,KQs,JTs,TT,T9s,99,88,77,66,65s,55,54s,44,33,22",green


SB,UTG,,HJ,"AA,AKs,AQs,AKo,KK,KQs,KJs,QQ,QJs",red
SB,UTG,,HJ,"A5s,AQo,KTs,QTs,JJ,65s,54s",yellow
SB,UTG,,HJ,"AJs,ATs,A9s,A4s,JTs,TT,99,88,77,66,55,33,22",green

SB,UTG,,CO,"AA,AKs,AQs,A5s,AKo,KK,KQs,KJs,AQo,QQ,QJs,JJ",red
SB,UTG,,CO,"AJs,KTs,QTs,76s,65s,54s",yellow
SB,UTG,,CO,"ATs,A9s,A4s,JTs,TT,T9s,99,88,77,66,55,44,22",green

SB,UTG,,BTN,"AA,AKs,AQs,AKo,KK,KQs,KJs,AQo,QQ,QJs,JJ",red
SB,UTG,,BTN,"AJs,A5s,KTs,KQo,QTs,JTs,76s,65s,",yellow
SB,UTG,,BTN,"ATs,A9s,A8s,A4s,A3s,TT,T9s,99,88,77,66,55,54s,44,33,22",green


SB,HJ,,CO,"AA,AKs,AQs,AJs,AKo,KK,KQs,KJs,AQo,QQ,QJs,JJ",red
SB,HJ,,CO,"A5s,A4s,KTs,QTs,JTs,TT,T9s,76s,65s,54s",yellow
SB,HJ,,CO,"ATs,A9s,A8s,KQo,99,88,77,66,55,44,33,22",green

SB,HJ,,BTN,"AA,AKs,AQs,AJs,A5s,AKo,KK,KQs,KJs,AQo,QQ,QJs,JJ",red
SB,HJ,,BTN,"KTs,KQo,JTs,J9s,TT,T9s,76s,65s,",yellow
SB,HJ,,BTN,"ATs,A9s,A8s,A7s,A4s,A3s,QTs,99,98s,88,77,66,55,54s,44,33,22",green


SB,CO,,BTN,"AA,AKs,AQs,AJs,A5s,AKo,KK,KQs,KJs,KTs,AQo,QQ,QJs,JTs,TT,T9s,JJ",red
SB,CO,,BTN,"ATs,KQo,AJo,QTs,J9s,99,76s,65s,",yellow
SB,CO,,BTN,"A9s,A8s,A7s,A6s,A4s,A3s,K9s,98s,88,77,66,55,54s,44,33,22",green


BB,UTG,,HJ,"AA,AKs,AQs,AKo,KK,KQs,KJs,QQ,QJs",red
BB,UTG,,HJ,"A5s,KTs,AQo,JJ,87s,76s,65s,54s",yellow
BB,UTG,,HJ,"AJs,ATs,A9s,A8s,A7s,A6s,A4s,A3s,A2s,K9s,K8s,K7s,K6s,K5s,K4s,KQo,QTs,Q9s,AJo,KJo,JTs,J9s,J8s,TT,T9s,T8s,T7s,99,98s,97s,88,86s,77,75s,66,64s,55,53s,52s,44,43s,33,22",green

BB,UTG,,CO,"AA,AKs,AQs,AJs,AKo,KK,KQs,KJs,QQ,QJs,JJ",red
BB,UTG,,CO,"A5s,KTs,AQo,QTs,87s,76s,65s,54s",yellow
BB,UTG,,CO,"ATs,A9s,A8s,A7s,A6s,A4s,A3s,A2s,K9s,K8s,K7s,K6s,K5s,K4s,KQo,Q9s,AJo,KJo,QJo,JTs,J9s,J8s,JTo,TT,T9s,T8s,T7s,99,98s,97s,96s,88,86s,85s,77,75s,74s,66,64s,55,53s,52s,44,43s,33,22",green

BB,UTG,,BTN,"AA,AKs,AQs,AJs,AKo,AQo,KK,KQs,KJs,KTs,QQ,QJs,JJ",red
BB,UTG,,BTN,"A5s,A4s,87s,76s,65s",yellow
BB,UTG,,BTN,"ATs,A9s,A8s,A7s,A6s,A3s,A2s,K9s,K8s,K7s,K6s,K5s,K4s,K3s,KQo,Q9s,Q8s,AJo,KJo,QJo,QTs,JTs,J9s,J8s,KTo,JTo,TT,T9s,T8s,T7s,99,98s,97s,96s,88,86s,85s,77,75s,74s,66,64s,63s,55,54s,53s,52s,44,43s,33,22",green

BB,UTG,,SB,"AA,AKs,AQs,AKo,KK,KQs,KJs,QQ,QJs,JJ",red
BB,UTG,,SB,"AJs,A5s,A2s,AQo,AJo,KTs,K6s,K3s,JTs,76s,65s,54s",yellow
BB,UTG,,SB,"ATs,A9s,A8s,A7s,A6s,A4s,A3s,K9s,K8s,K7s,K5s,K4s,K2s,KQo,Q9s,Q8s,KJo,QJo,QTs,J9s,J8s,J7s,ATo,KTo,QTo,JTo,TT,T9s,T8s,T7s,T6s,99,98s,97s,96s,88,87s,86s,85s,77,75s,74s,66,64s,63s,65o,55,53s,52s,44,43s,42s,33,22",green


BB,HJ,,CO,"AA,AKs,AQs,AJs,AKo,AQo,KK,KQs,KJs,QQ,QJs,JJ,JTs",red
BB,HJ,,CO,"A5s,KTs,QTs,87s,76s,65s,54s",yellow
BB,HJ,,CO,"ATs,A9s,A8s,A7s,A6s,A4s,A3s,A2s,K9s,K8s,K7s,K6s,K5s,K4s,KQo,Q9s,AJo,KJo,QJo,J9s,J8s,JTo,TT,T9s,T8s,T7s,99,98s,97s,96s,88,86s,85s,77,75s,74s,66,64s,55,53s,52s,44,43s,33,22",green


BB,HJ,,BTN,"AA,AKs,AQs,AJs,AKo,AQo,KK,KQs,KJs,KTs,QQ,QJs,QTs,JJ,JTs,",red
BB,HJ,,BTN,"A5s,TT,76s,65s,54s",yellow
BB,HJ,,BTN,"ATs,A9s,A8s,A7s,A6s,A4s,A3s,A2s,K9s,K8s,K7s,K6s,K5s,K4s,K3s,KQo,Q9s,Q8s,Q7s,Q6s,AJo,ATo,KJo,QJo,QTo,J9s,J8s,KTo,JTo,T9s,T8s,T7s,99,98s,97s,96s,88,87s,86s,85s,77,75s,74s,66,64s,63s,55,53s,52s,44,43s,42s,33,22",green


BB,HJ,,SB,"AA,AKs,AQs,AKo,KK,KQs,KJs,KTs,QQ,QJs,JTs,JJ",red
BB,HJ,,SB,"AJs,ATs,A5s,A3s,AQo,AJo,K6s,J9s,TT,T9s,T8s,76s,65s,54s",yellow
BB,HJ,,SB,"A9s,A8s,A7s,A6s,A4s,A2s,K9s,K8s,K7s,K5s,K4s,K3s,K2s,KQo,Q9s,Q8s,Q7s,Q6s,Q5s,Q4s,KJo,QJo,QTs,J8s,J7s,ATo,KTo,QTo,JTo,T7s,T6s,T9o,99,98s,97s,96s,88,87s,86s,85s,77,75s,74s,66,64s,63s,65o,55,53s,52s,54o,44,43s,42s,33,22",green


BB,CO,,BTN,"AA,AKs,AQs,AJs,ATs,AKo,AQo,KK,KQs,KJs,KTs,QQ,QJs,QTs,JJ,JTs,J9s,TT,T9s,65s",red
BB,CO,,BTN,"A5s,KJo,99,76s,54s",yellow
BB,CO,,BTN,"A9s,A8s,A7s,A6s,A4s,A3s,A2s,K9s,K8s,K7s,K6s,K5s,K4s,K3s,KQo,Q9s,Q8s,Q7s,Q6s,Q5s,AJo,ATo,QJo,QTo,J8s,J7s,KTo,JTo,T8s,T7s,T9o,98s,97s,96s,88,87s,86s,85s,77,75s,74s,66,64s,63s,55,53s,52s,44,43s,42s,33,22",green


BB,CO,,SB,"AA,AKs,AQs,AKo,AQo,KK,KQs,KJs,KTs,QQ,QJs,QTs,JTs,JJ,TT,T9s",red
BB,CO,,SB,"ATs,A5s,AJo,ATo,Q8s,J9s,J7s,T8s,76s,65s,54s",yellow
BB,CO,,SB,"AJs,A9s,A8s,A7s,A6s,A4s,A3s,A2s,K9s,K8s,K7s,K6s,K5s,K4s,K3s,K2s,KQo,Q9s,Q7s,Q6s,Q5s,Q4s,Q3s,Q2s,KJo,QJo,J8s,J6s,J5s,J4s,KTo,QTo,JTo,T7s,T6s,T5s,A9o,K9o,J9o,T9o,99,98s,97s,96s,95s,88,87s,86s,85s,84s,77,75s,74s,66,64s,63s,65o,55,53s,52s,54o,44,43s,42s,33,32s,22",green


BB,BTN,,SB,"AA,AKs,AQs,AKo,AQo,KK,KQs,KJs,KTs,QQ,QJs,QTs,Q9s,Q8s,JTs,J9s,JJ,TT,T9s,T8s,99,98s,97s,",red
BB,BTN,,SB,"AJo,ATo,A9o,T7s,76s,65s,A5o,A4o",yellow
BB,BTN,,SB,"AJs,ATs,A5s,A9s,A8s,A7s,A6s,A4s,A3s,A2s,K9s,K8s,K7s,K6s,K5s,K4s,K3s,K2s,KQo,Q7s,Q6s,Q5s,Q4s,Q3s,Q2s,KJo,QJo,J8s,J7s,J6s,J5s,J4s,J3s,J2s,KTo,QTo,JTo,T6s,T5s,T4s,T3s,T2s,K9o,J9o,T9o,96s,95s,94s,93s,88,87s,86s,85s,84s,77,75s,74s,73s,66,64s,63s,62s,65o,55,54s,53s,52s,54o,44,43s,42s,33,32s,22,A8o,A7o,A6o,A3o,K8o,K7o,Q9o,Q8o,J8o,T8o,98o,97o,87o,86o,76o,75o,64o,",green




#3BET 3人マッチアップ#
############################
    # UTG open  
############################

## HJ call ##
UTG,UTG,CO,HJ,"AA,AKs,AKo,KK,",red
UTG,UTG,CO,HJ,"QQ",yellow
UTG,UTG,CO,HJ,"AQs,JJ",green
UTG,UTG,CO,HJ,"A5s,KQs,",blue

HJ,UTG,CO,"HJ,UTG2","QQ",red
HJ,UTG,CO,"HJ,UTG2","AKo,",yellow
HJ,UTG,CO,"HJ,UTG2","AQs,A5s,A4s,JJ,TT,99,88,77,76s,66,65s,55,54s,44,33,22",green

HJ,UTG,CO,HJ,"AKo",red
HJ,UTG,CO,HJ,"QQ",yellow
HJ,UTG,CO,HJ,"AQs,AJs,KQs,KJs,JJ,TT,76s,66,65s,54s,44,33,22",green

###############################################################
## HJ call ##
UTG,UTG,BTN,HJ,"AA,AKs,AKo,KK,KQs",red
UTG,UTG,BTN,HJ,"AQs,QQ",yellow
UTG,UTG,BTN,HJ,"JJ",green
UTG,UTG,BTN,HJ,"A5s,",blue

HJ,UTG,BTN,"HJ,UTG2","QQ",red
HJ,UTG,BTN,"HJ,UTG2","AKo",yellow
